Algebra.Ge_0.given.And.Ge_0.split.Mul Nat.Ge_0.given.And.Ge_0.split.Mul
Algebra.Ge_0.given.And.Le_0.split.Mul Int.Ge_0.given.And.Le_0.split.Mul
Algebra.Gt_0.given.And.Gt_0.split.Mul Nat.Gt_0.given.And.Gt_0.split.Mul
Algebra.Gt_0.given.And.Lt_0.split.Mul Int.Gt_0.given.And.Lt_0.split.Mul
Algebra.Ge.Ge.Is.Ge.Max Nat.Ge.Ge.Is.Ge.Max
Algebra.Ge.Ge.given.Ge.Max Nat.Ge.Ge.given.Ge.Max
Algebra.Ge.Sum.Square.of.Eq_ReducedSum Finset.Ge.Sum.Square.of.Eq_ReducedSum
Algebra.Ge.given.And.scale.negative Int.Ge.given.And.scale.negative
Algebra.Ge.given.And.scale.positive Rat.Ge.given.And.scale.positive
Algebra.Ge.of.Eq.Ge.subst Nat.Ge.of.Eq.Ge.subst
Algebra.Ge.of.Eq.Le.subst Nat.Ge.of.Eq.Le.subst
Algebra.Ge.of.Ge.Ge.subst Nat.Ge.of.Ge.Ge.subst
Algebra.Ge.of.Gt.strengthen.minus Int.Ge.of.Gt.strengthen.minus
Algebra.Ge_0.Is.Or.split.Mul Nat.Ge_0.Is.Or.split.Mul
Algebra.Ge_0.given.Or.split.Mul Nat.Ge_0.given.Or.split.Mul
Algebra.Given.Or.of.Given.Given Bool.Given.Or.of.Given.Given
Algebra.Given.given.Given.split.Or Bool.Given.given.Given.split.Or
Algebra.Gt.Gt.Is.Gt.Max Nat.Gt.Gt.Is.Gt.Max
Algebra.Gt.Gt.given.Gt.Max Nat.Gt.Gt.given.Gt.Max
Algebra.Gt.Sum.Mul.of.Gt Finset.Gt.Sum.Mul.of.Gt
Algebra.Gt.given.And.scale.negative Int.Gt.given.And.scale.negative
Algebra.Gt.given.And.scale.positive Rat.Gt.given.And.scale.positive
Algebra.Gt.of.Eq.Gt.subst Nat.Gt.of.Eq.Gt.subst
Algebra.Gt.of.Eq.Lt.subst Nat.Gt.of.Eq.Lt.subst
Algebra.Gt.of.Gt.Gt.subst Nat.Gt.of.Gt.Gt.subst
Algebra.Gt.of.Gt.Le.subst Nat.Gt.of.Gt.Le.subst
Algebra.Gt_0.Add.of.Gt_0.Gt_0 Nat.Gt_0.Add.of.Gt_0.Gt_0
Algebra.Gt_0.Div.of.Gt_0.Gt_0 Rat.Gt_0.Div.of.Gt_0.Gt_0
Algebra.Gt_0.Eq.given.And.Div Rat.Gt_0.Eq.given.And.Div
Algebra.Gt_0.Eq.given.And.Mul Nat.Gt_0.Eq.given.And.Mul
Algebra.Gt_0.Ge.given.And.Div Rat.Gt_0.Ge.given.And.Div
Algebra.Gt_0.Ge.given.And.Mul Nat.Gt_0.Ge.given.And.Mul
Algebra.Gt_0.Gt.given.And.Div Rat.Gt_0.Gt.given.And.Div
Algebra.Gt_0.Gt.given.And.Mul Nat.Gt_0.Gt.given.And.Mul
Algebra.Gt_0.Le.given.And.Div Rat.Gt_0.Le.given.And.Div
