Algebra.Abs.Conj Complex.Abs.Conj
Algebra.Add.Square.eq.Sub.Re Complex.Add.Square.eq.Sub.Re
Algebra.Add.eq.Add.square_completing.Conj Complex.Add.eq.Add.square_completing.Conj
Algebra.Add.eq.Im Complex.Add.eq.Im
Algebra.Add.eq.Mul.Im Complex.Add.eq.Mul.Im
Algebra.Add.eq.Mul.Re Complex.Add.eq.Mul.Re
Algebra.Add.eq.Re Complex.Add.eq.Re
Algebra.Add.eq.Zero.given.And.Eq.Mod.cubic.depressed Complex.Add.eq.Zero.given.And.Eq.Mod.cubic.depressed
Algebra.Add.eq.Zero.given.And.Eq.Mod.cubic.one_leaded Complex.Add.eq.Zero.given.And.Eq.Mod.cubic.one_leaded
Algebra.Add.eq.Zero.given.And.Eq.cubic.depressed Complex.Add.eq.Zero.given.And.Eq.cubic.depressed
Algebra.Add.eq.Zero.given.And.Eq.cubic.one_leaded Complex.Add.eq.Zero.given.And.Eq.cubic.one_leaded
Algebra.Arg.ExpMulI.eq.Add.Floor Complex.Arg.ExpMulI.eq.Add.Floor
Algebra.Block.eq.Conj Complex.Block.eq.Conj
Algebra.Conj.eq.Block Complex.Conj.eq.Block
Algebra.Conj.ne.Zero.of.Ne_0 Complex.Conj.ne.Zero.of.Ne_0
Algebra.Eq.of.Eq_Add_Sqrt.radical_Conjugate Complex.Eq.of.Eq_Add_Sqrt.radical_Conjugate
Algebra.Eq.of.Eq_Conj.square_completing Complex.Eq.of.Eq_Conj.square_completing
Algebra.Eq.of.Eq_Pow.Eq_Ceil.cubic_root Complex.Eq.of.Eq_Pow.Eq_Ceil.cubic_root
Algebra.EqArg.of.Eq_ExpMulI Complex.EqArg.of.Eq_ExpMulI
Algebra.EqArg.of.Lt_0 Complex.EqArg.of.Lt_0
Algebra.EqConj.of.Ge Complex.EqConj.of.Ge
Algebra.EqConj.of.Gt Complex.EqConj.of.Gt
Algebra.EqConj.of.Le Complex.EqConj.of.Le
Algebra.EqConj.of.Lt Complex.EqConj.of.Lt
Algebra.EqIm.of.Eq Complex.EqIm.of.Eq
Algebra.EqRe.of.Eq Complex.EqRe.of.Eq
Algebra.Eq_0.of.Conj.eq.Zero Complex.Eq_0.of.Conj.eq.Zero
Algebra.Im.eq.Add Complex.Im.eq.Add
Algebra.Im.eq.Neg.Im.Conj Complex.Im.eq.Neg.Im.Conj
Algebra.Im.eq.Sum Complex.Im.eq.Sum
Algebra.Mul.Conj.eq.Square.Abs Complex.Mul.Conj.eq.Square.Abs
Algebra.Mul.eq.Im Complex.Mul.eq.Im
Algebra.Mul.eq.Re Complex.Mul.eq.Re
Algebra.Or_Eq.of.Add.eq.Zero.Add.eq.Zero.Ne_0.quartic.depressed Complex.Or_Eq.of.Add.eq.Zero.Add.eq.Zero.Ne_0.quartic.depressed
Algebra.Or_Eq.of.Add.eq.Zero.Mod.eq.Zero.Ne_0.quartic.depressed Complex.Or_Eq.of.Add.eq.Zero.Mod.eq.Zero.Ne_0.quartic.depressed
Algebra.Pow.Exp.eq.Pow.Ceil Complex.Pow.Exp.eq.Pow.Ceil
Algebra.Re.Conj Complex.Re.Conj
Algebra.Re.eq.Add Complex.Re.eq.Add
Algebra.Re.eq.Add.Conj Complex.Re.eq.Add.Conj
Algebra.Re.eq.Mul Complex.Re.eq.Mul
Algebra.Re.eq.Sum Complex.Re.eq.Sum
Algebra.Root.eq.Mul.cubic_root Complex.Root.eq.Mul.cubic_root
Algebra.Sign.eq.ExpMulI.Arg Complex.Sign.eq.ExpMulI.Arg
Algebra.Square.Abs.eq.Add.Re Complex.Square.Abs.eq.Add.Re
Algebra.Square.Abs.eq.Mul.Conj Complex.Square.Abs.eq.Mul.Conj
Algebra.Sum.eq.Im Complex.Sum.eq.Im
Algebra.Sum.eq.Re Complex.Sum.eq.Re
